,Major Class,Month of Travel Date,From,To,Sum of Net Tickets,Sum of Total $
0,Business Class,Jan,Calgary,Ottawa,2,6045.62
1,Business Class,Jan,Calgary,Victoria,1,740.6
2,Business Class,Jan,Campbell River,Ottawa,1,3482.85
3,Business Class,Jan,Charlottetown,Calgary,1,2807.24
4,Business Class,Jan,Charlottetown,Ottawa,1,737.35
5,Business Class,Jan,Charlottetown,Toronto,3,2779.83
6,Business Class,Jan,Edmonton,Ottawa,3,6291.02
7,Business Class,Jan,Edmonton,Toronto,1,1127.83
8,Business Class,Jan,Edmonton,Winnipeg,1,484.18
9,Business Class,Jan,Halifax,Edmonton,1,1374.31
10,Business Class,Jan,Halifax,Ottawa,3,1774.0
11,Business Class,Jan,Kingston,Saskatoon,1,1851.88
12,Business Class,Jan,Kingston,Vancouver,1,4793.27
13,Business Class,Jan,Moncton,Whitehorse,1,1541.28
14,Business Class,Jan,Montreal,Victoria,1,4691.22
15,Business Class,Jan,Ottawa,Calgary,1,2215.84
16,Business Class,Jan,Ottawa,Charlottetown,2,2874.95
17,Business Class,Jan,Ottawa,Edmonton,4,10649.01
18,Business Class,Jan,Ottawa,Halifax,4,3308.4099999999994
19,Business Class,Jan,Ottawa,Montreal,1,1090.42
20,Business Class,Jan,Ottawa,Toronto,6,9644.75
21,Business Class,Jan,Ottawa,Vancouver,6,24024.13
22,Business Class,Jan,Ottawa,Winnipeg,6,5061.67
23,Business Class,Jan,Quebec,Halifax,1,975.65
24,Business Class,Jan,Regina,Halifax,1,802.65
25,Business Class,Jan,Rouyn Noranda,Montreal,1,273.79
26,Business Class,Jan,Saskatoon,Whitehorse,3,1045.56
27,Business Class,Jan,Sept Iles,Regina,2,1860.82
28,Business Class,Jan,St John's,Fredericton,2,2162.35
29,Business Class,Jan,St John's,Halifax,1,426.79
30,Business Class,Jan,St John's,Toronto,1,868.0
31,Business Class,Jan,Toronto,Edmonton,1,1434.11
32,Business Class,Jan,Toronto,Halifax,1,640.5
33,Business Class,Jan,Toronto,Ottawa,1,910.8
34,Business Class,Jan,Toronto,Vancouver,1,6494.77
35,Business Class,Jan,Vancouver,Ottawa,5,17540.21
36,Business Class,Jan,Vancouver,Toronto,2,3855.89
37,Business Class,Jan,Vancouver,Victoria,1,414.0
38,Business Class,Jan,Victoria,Halifax,2,2928.49
39,Business Class,Jan,Victoria,Ottawa,1,3251.12
40,Business Class,Jan,Victoria,Quebec,1,2669.29
41,Business Class,Jan,Whitehorse,Calgary,1,1039.3
42,Business Class,Jan,Winnipeg,Calgary,1,532.48
43,Business Class,Jan,Winnipeg,Ottawa,3,1974.45
44,Business Class,Jan,Winnipeg,Vancouver,1,1447.27
45,Business Class,Jan,Winnipeg,Whitehorse,1,851.81
46,Business Class,Jan,Yellowknife,Vancouver,1,942.53
47,Business Class,Jan,Yellowknife,Winnipeg,2,725.68
48,Business Class,Feb,Calgary,Whitehorse,1,610.73
49,Business Class,Feb,Calgary,Winnipeg,1,460.03
50,Business Class,Feb,Charlottetown,Kamloops,1,3447.61
51,Business Class,Feb,Charlottetown,Toronto,2,2084.44
52,Business Class,Feb,Charlottetown,Vancouver,1,3919.71
53,Business Class,Feb,Comox,Winnipeg,1,1083.86
54,Business Class,Feb,Edmonton,Ottawa,2,3510.08
55,Business Class,Feb,Edmonton,Vancouver,1,1087.7
56,Business Class,Feb,Edmonton,Whitehorse,4,2151.4700000000007
57,Business Class,Feb,Edmonton,Winnipeg,2,1323.26
58,Business Class,Feb,Halifax,Montreal,1,515.34
59,Business Class,Feb,Kelowna,Whitehorse,1,877.01
60,Business Class,Feb,Kuujjuaq,Winnipeg,1,1871.36
61,Business Class,Feb,Mont Joli,Montreal,1,1457.49
62,Business Class,Feb,Montreal,Edmonton,2,4270.75
63,Business Class,Feb,Montreal,Halifax,2,1579.14
64,Business Class,Feb,Montreal,Regina,2,846.28
65,Business Class,Feb,Montreal,Toronto,3,272.63
66,Business Class,Feb,Montreal,Vancouver,3,10375.68
67,Business Class,Feb,Montreal,Victoria,1,3314.59
68,Business Class,Feb,Ottawa,Calgary,3,3196.24
69,Business Class,Feb,Ottawa,Charlottetown,1,2263.71
70,Business Class,Feb,Ottawa,Edmonton,6,12917.09
71,Business Class,Feb,Ottawa,Halifax,7,4955.08
72,Business Class,Feb,Ottawa,Montreal,3,695.09
73,Business Class,Feb,Ottawa,Regina,2,2383.01
74,Business Class,Feb,Ottawa,St John's,3,3491.36
75,Business Class,Feb,Ottawa,Sydney,2,2212.01
76,Business Class,Feb,Ottawa,Toronto,2,3204.81
77,Business Class,Feb,Ottawa,Vancouver,14,53172.22
78,Business Class,Feb,Ottawa,Victoria,3,11434.14
79,Business Class,Feb,Ottawa,Winnipeg,9,6379.989999999999
80,Business Class,Feb,Quebec,Sydney,1,966.12
81,Business Class,Feb,Regina,Montreal,1,752.25
82,Business Class,Feb,Regina,Ottawa,5,6420.21
83,Business Class,Feb,Regina,Quebec,1,1188.79
84,Business Class,Feb,Regina,Victoria,8,1383.26
85,Business Class,Feb,Saskatoon,Winnipeg,1,620.1
86,Business Class,Feb,St John's,Ottawa,1,1491.9
87,Business Class,Feb,St John's,Toronto,1,2123.67
88,Business Class,Feb,Thompson,Calgary,1,901.16
89,Business Class,Feb,Toronto,Ottawa,6,3455.0
90,Business Class,Feb,Toronto,Vancouver,1,2784.13
91,Business Class,Feb,Vancouver,Edmonton,2,1094.75
92,Business Class,Feb,Vancouver,Ottawa,3,10630.24
93,Business Class,Feb,Vancouver,Regina,2,1251.99
94,Business Class,Feb,Vancouver,Toronto,2,9540.62
95,Business Class,Feb,Vancouver,Whitehorse,1,461.08
96,Business Class,Feb,Vancouver,Winnipeg,1,594.43
97,Business Class,Feb,Victoria,Ottawa,2,6099.04
98,Business Class,Feb,Victoria,Whitehorse,2,2046.5
